Uniprot Accession	Description	Gene	Peptides.used.for.quantitation	Confidence.score	Molecular weight (Da)	Dataset	Bnumber	Annotated functional COG groups (letter)	Annotated functional COG group (description)	Annotated functional COG class
P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	aceF	40	2531.68	66036.77654	2	b0115	C	Energy production and conversion	METABOLISM
P13029	Catalase-peroxidase OS=Escherichia coli (strain K12) GN=katG PE=1 SV=2	katG	38	2675.38	79956.11435	2	b3942	P	Inorganic ion transport and metabolism	METABOLISM
P0AES4	DNA gyrase subunit A OS=Escherichia coli (strain K12) GN=gyrA PE=1 SV=1	gyrA	38	2233.08	96885.40294	2	b2231	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P08200	Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	icd	38	2595.05	45709.46787	2	b1136	C	Energy production and conversion	METABOLISM
P0ABB4	ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2	atpD	38	2757.77	50275.81931	2	b3732	C	Energy production and conversion	METABOLISM
P04825	Aminopeptidase N OS=Escherichia coli (strain K12) GN=pepN PE=1 SV=2	pepN	37	2372.98	98838.72264	2	b0932	E	Amino acid transport and metabolism	METABOLISM
P0AD61	Pyruvate kinase I OS=Escherichia coli (strain K12) GN=pykF PE=1 SV=1	pykF	36	2143.91	50679.24536	2	b1676	G	Carbohydrate transport and metabolism	METABOLISM
P0A9G6	Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1	aceA	36	2786.72	47473.57659	2	b4015	C	Energy production and conversion	METABOLISM
P0AC33	Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) GN=fumA PE=1 SV=2	fumA	36	2533.65	60242.56175	2	b1612	C	Energy production and conversion	METABOLISM
P09546	Bifunctional protein putA OS=Escherichia coli (strain K12) GN=putA PE=1 SV=3	putA	36	2535.67	143707.3978	2	b1014	C	Energy production and conversion	METABOLISM
P21179	Catalase HPII OS=Escherichia coli (strain K12) GN=katE PE=1 SV=1	katE	35	2211.86	84092.42396	2	b1732	P	Inorganic ion transport and metabolism	METABOLISM
P0A6Z3	Chaperone protein htpG OS=Escherichia coli (strain K12) GN=htpG PE=1 SV=1	htpG	35	1847.19	71360.33894	2	b0473	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A6P1	Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2	tsf	35	2366.23	30385.76806	2	b0170	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P08839	Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1	ptsI	35	2206.55	63503.89517	2	b2416	G	Carbohydrate transport and metabolism	METABOLISM
P0A6E4	Argininosuccinate synthase OS=Escherichia coli (strain K12) GN=argG PE=1 SV=2	argG	35	2674.37	49848.81733	2	b3172	E	Amino acid transport and metabolism	METABOLISM
P0A6F3	Glycerol kinase OS=Escherichia coli (strain K12) GN=glpK PE=1 SV=2	glpK	35	2432.72	56177.25025	2	b3926	C	Energy production and conversion	METABOLISM
P0A9M8	Phosphate acetyltransferase OS=Escherichia coli (strain K12) GN=pta PE=1 SV=2	pta	34	2290.93	77105.88254	2	b2297	R	General function prediction only	POORLY CHARACTERIZED
P0A850	Trigger factor OS=Escherichia coli (strain K12) GN=tig PE=1 SV=1	tig	34	2152.85	48144.85133	2	b0436	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A940	Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1	bamA	34	2111.5	90478.46722	2	b0177	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P05055	Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3	pnp	34	2010.85	77034.97797	2	b3164	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A6T1	Glucose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=pgi PE=1 SV=1	pgi	34	2068.73	61472.99513	2	b4025	G	Carbohydrate transport and metabolism	METABOLISM
P0AC41	Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) GN=sdhA PE=1 SV=1	sdhA	34	2804.82	64363.08691	2	b0723	C	Energy production and conversion	METABOLISM
P0A9M0	Lon protease OS=Escherichia coli (strain K12) GN=lon PE=1 SV=1	lon	33	2210.84	87364.80487	2	b0439	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P27550	Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2	acs	33	1996.87	72030.23532	2	b4069	I	Lipid transport and metabolism	METABOLISM
P23538	Phosphoenolpyruvate synthase OS=Escherichia coli (strain K12) GN=ppsA PE=1 SV=5	ppsA	33	1820.57	87361.60027	2	b1702	G	Carbohydrate transport and metabolism	METABOLISM
P04079	GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=guaA PE=1 SV=1	guaA	33	2391.7	58623.86483	2	b2507	F	Nucleotide transport and metabolism	METABOLISM
P22523	Chromosome partition protein mukB OS=Escherichia coli (strain K12) GN=mukB PE=1 SV=2	mukB	33	2059.61	170107.5558	2	b0924	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P0A9W3	Uncharacterized ABC transporter ATP-binding protein YjjK OS=Escherichia coli (strain K12) GN=yjjK PE=1 SV=2	yjjK	32	2281.37	62386.25685	2	b4391	R	General function prediction only	POORLY CHARACTERIZED
P0AES6	DNA gyrase subunit B OS=Escherichia coli (strain K12) GN=gyrB PE=1 SV=2	gyrB	32	2076.1	89875.87852	2	b3699	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P21513	Ribonuclease E OS=Escherichia coli (strain K12) GN=rne PE=1 SV=6	rne	32	2572.23	118106.8771	2	b1084	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A8M3	Threonyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=thrS PE=1 SV=1	thrS	32	1942.28	73948.79422	2	b1719	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A799	Phosphoglycerate kinase OS=Escherichia coli (strain K12) GN=pgk PE=1 SV=2	pgk	32	2518.51	41074.62371	2	b2926	G	Carbohydrate transport and metabolism	METABOLISM
P00370	NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) GN=gdhA PE=1 SV=1	gdhA	32	1927.2	48532.35541	2	b1761	E	Amino acid transport and metabolism	METABOLISM
P0A825	Serine hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=glyA PE=1 SV=1	glyA	32	2089.47	45269.96251	2	b2551	E	Amino acid transport and metabolism	METABOLISM
P23843	Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2	oppA	32	1916.49	60842.91364	2	b1243	E	Amino acid transport and metabolism	METABOLISM
P0A9A6	Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1	ftsZ	32	2379.17	40280.55906	2	b0095	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P08997	Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	aceB	32	2238.64	60217.52759	2	b4014	C	Energy production and conversion	METABOLISM
P33602	NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) GN=nuoG PE=1 SV=4	nuoG	32	2198.98	100217.9683	2	b2283	C	Energy production and conversion	METABOLISM
P17846	Sulfite reductase [NADPH] hemoprotein beta-component OS=Escherichia coli (strain K12) GN=cysI PE=1 SV=4	cysI	31	1902.4	63939.93503	2	b2763	P	Inorganic ion transport and metabolism	METABOLISM
P00582	DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1	polA	31	2183.47	103035.5166	2	b3863	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A9B2	Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) GN=gapA PE=1 SV=2	gapA	31	1793.43	35492.2309	2	b1779	G	Carbohydrate transport and metabolism	METABOLISM
P15639	Bifunctional purine biosynthesis protein purH OS=Escherichia coli (strain K12) GN=purH PE=1 SV=1	purH	31	1871.94	57274.98651	2	b4006	F	Nucleotide transport and metabolism	METABOLISM
P0A853	Tryptophanase OS=Escherichia coli (strain K12) GN=tnaA PE=1 SV=1	tnaA	31	1872.16	52721.57894	2	b3708	E	Amino acid transport and metabolism	METABOLISM
P25516	Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	acnA	31	2147.6	97597.74141	2	b1276	C	Energy production and conversion	METABOLISM
P33599	NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) GN=nuoC PE=1 SV=3	nuoC	31	1769.66	68174.53178	2	b2286	C	Energy production and conversion	METABOLISM
P0A9C5	Glutamine synthetase OS=Escherichia coli (strain K12) GN=glnA PE=1 SV=2	glnA	30	1686.3	51852.71686	2	b3870	E	Amino acid transport and metabolism	METABOLISM
P09151	2-isopropylmalate synthase OS=Escherichia coli (strain K12) GN=leuA PE=1 SV=5	leuA	30	2302.65	57244.09138	2	b0074	E	Amino acid transport and metabolism	METABOLISM
P37685	Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2	aldB	30	1607.71	56252.47906	2	b3588	C	Energy production and conversion	METABOLISM
P06149	D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=dld PE=1 SV=3	dld	30	1565.74	64553.60212	2	b2133	C	Energy production and conversion	METABOLISM
P37330	Malate synthase G OS=Escherichia coli (strain K12) GN=glcB PE=1 SV=3	glcB	30	1775.61	80419.85713	2	b2976	C	Energy production and conversion	METABOLISM
P0ABH7	Citrate synthase OS=Escherichia coli (strain K12) GN=gltA PE=1 SV=1	gltA	30	2043.46	47965.89357	2	b0720	C	Energy production and conversion	METABOLISM
P35340	Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2	ahpF	29	1822.39	56124.08085	2	b0606	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A910	Outer membrane protein A OS=Escherichia coli (strain K12) GN=ompA PE=1 SV=1	ompA	29	2046.35	37159.64679	2	b0957	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P17169	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) GN=glmS PE=1 SV=4	glmS	29	2457.09	66834.61906	2	b3729	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P16659	Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4	proS	29	2204.63	63634.68294	2	b0194	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P60422	50S ribosomal protein L2 OS=Escherichia coli (strain K12) GN=rplB PE=1 SV=2	rplB	29	1979.3	29824.00117	2	b3317	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P00452	Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2	nrdA	29	1369.24	82789.58209	2	b2234	F	Nucleotide transport and metabolism	METABOLISM
P27298	Oligopeptidase A OS=Escherichia coli (strain K12) GN=prlC PE=3 SV=3	prlC	29	1525.67	77100.625	2	b3498	E	Amino acid transport and metabolism	METABOLISM
P0A6B7	Cysteine desulfurase OS=Escherichia coli (strain K12) GN=iscS PE=1 SV=1	iscS	29	2188.87	45042.91969	2	b2530	E	Amino acid transport and metabolism	METABOLISM
P13035	Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=glpD PE=1 SV=3	glpD	29	1604.83	56697.06997	2	b3426	C	Energy production and conversion	METABOLISM
P0ABB0	ATP synthase subunit alpha OS=Escherichia coli (strain K12) GN=atpA PE=1 SV=1	atpA	29	2800.06	55169.73662	2	b3734	C	Energy production and conversion	METABOLISM
P38038	Sulfite reductase [NADPH] flavoprotein alpha-component OS=Escherichia coli (strain K12) GN=cysJ PE=1 SV=4	cysJ	28	2175.11	66210.86614	2	b2764	P	Inorganic ion transport and metabolism	METABOLISM
P0AAI3	ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1	ftsH	28	1906.04	70645.4092	2	b3178	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AG30	Transcription termination factor Rho OS=Escherichia coli (strain K12) GN=rho PE=1 SV=1	rho	28	2097.93	46956.59013	2	b3783	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A817	S-adenosylmethionine synthase OS=Escherichia coli (strain K12) GN=metK PE=1 SV=2	metK	28	1718.3	41907.1862	2	b2942	H	Coenzyme transport and metabolism	METABOLISM
P0ADG7	Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) GN=guaB PE=1 SV=1	guaB	28	2370.1	51972.01166	2	b2508	F	Nucleotide transport and metabolism	METABOLISM
Q59385	Copper-exporting P-type ATPase A OS=Escherichia coli (strain K12) GN=copA PE=1 SV=4	copA	27	1782.14	87799.79865	2	b0484	P	Inorganic ion transport and metabolism	METABOLISM
P0AFF6	Transcription elongation protein nusA OS=Escherichia coli (strain K12) GN=nusA PE=1 SV=1	nusA	27	1899.01	54819.06259	2	b3169	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A7Z4	DNA-directed RNA polymerase subunit alpha OS=Escherichia coli (strain K12) GN=rpoA PE=1 SV=1	rpoA	27	1907.81	36471.13747	2	b3295	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A8N3	Lysyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=lysS PE=1 SV=2	lysS	27	2561.23	57549.12811	2	b2890	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P00959	Methionyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=metG PE=1 SV=2	metG	27	1588.88	76188.10041	2	b2114	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P00350	6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2	gnd	27	1940.13	51431.30094	2	b2029	G	Carbohydrate transport and metabolism	METABOLISM
P0AEE5	D-galactose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=mglB PE=1 SV=1	mglB	27	1604.39	35672.35627	2	b2150	G	Carbohydrate transport and metabolism	METABOLISM
P0AD96	Leu/Ile/Val-binding protein OS=Escherichia coli (strain K12) GN=livJ PE=1 SV=1	livJ	27	1996.57	39033.9819	2	b3460	E	Amino acid transport and metabolism	METABOLISM
P13009	Methionine synthase OS=Escherichia coli (strain K12) GN=metH PE=1 SV=5	metH	27	1587.38	135893.6125	2	b4019	E	Amino acid transport and metabolism	METABOLISM
P61889	Malate dehydrogenase OS=Escherichia coli (strain K12) GN=mdh PE=1 SV=1	mdh	27	2213	32299.20422	2	b3236	C	Energy production and conversion	METABOLISM
P32132	GTP-binding protein typA/BipA OS=Escherichia coli (strain K12) GN=typA PE=1 SV=2	typA	26	1734.85	67295.47014	2	b3871	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P77804	Protein ydgA OS=Escherichia coli (strain K12) GN=ydgA PE=1 SV=1	ydgA	26	1469.59	54636.91746	2	b1614	S	Function unknown	POORLY CHARACTERIZED
P06971	Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2	fhuA	26	1525.73	82113.29387	2	b0150	P	Inorganic ion transport and metabolism	METABOLISM
P0ADY1	Peptidyl-prolyl cis-trans isomerase D OS=Escherichia coli (strain K12) GN=ppiD PE=1 SV=1	ppiD	26	1563.05	68089.75025	2	b0441	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P30850	Exoribonuclease 2 OS=Escherichia coli (strain K12) GN=rnb PE=1 SV=3	rnb	26	1290.68	72427.22502	2	b1286	K	Transcription	INFORMATION STORAGE AND PROCESSING
P00962	Glutaminyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=glnS PE=1 SV=3	glnS	26	1487.34	63419.78257	2	b0680	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AB71	Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) GN=fbaA PE=1 SV=2	fbaA	26	1659.08	39104.59675	2	b2925	G	Carbohydrate transport and metabolism	METABOLISM
P0ABK5	Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2	cysK	26	2393.1	34450.28634	2	b2414	E	Amino acid transport and metabolism	METABOLISM
P0ACY3	Uncharacterized protein yeaG OS=Escherichia coli (strain K12) GN=yeaG PE=3 SV=1	yeaG	25	1326.76	74415.57277	2	b1783	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P23845	Sulfate adenylyltransferase subunit 1 OS=Escherichia coli (strain K12) GN=cysN PE=1 SV=1	cysN	25	1650.37	52508.01953	2	b2751	P	Inorganic ion transport and metabolism	METABOLISM
P23865	Tail-specific protease OS=Escherichia coli (strain K12) GN=prc PE=1 SV=2	prc	25	1202.44	76597.69941	2	b1830	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P21177	Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadB PE=1 SV=2	fadB	25	1449.92	79525.42988	2	b3846	I	Lipid transport and metabolism	METABOLISM
P36938	Phosphoglucomutase OS=Escherichia coli (strain K12) GN=pgm PE=1 SV=1	pgm	25	1772.14	58306.46912	2	b0688	G	Carbohydrate transport and metabolism	METABOLISM
P0A870	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	talB	25	1950.25	35179.30906	2	b0008	G	Carbohydrate transport and metabolism	METABOLISM
P68767	Cytosol aminopeptidase OS=Escherichia coli (strain K12) GN=pepA PE=1 SV=1	pepA	25	1456.6	54826.96661	2	b4260	E	Amino acid transport and metabolism	METABOLISM
P00934	Threonine synthase OS=Escherichia coli (strain K12) GN=thrC PE=1 SV=1	thrC	25	1740.99	47066.2141	2	b0004	E	Amino acid transport and metabolism	METABOLISM
P0A9P0	Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2	lpdA	25	1872.62	50638.58341	2		-		
P75691	Uncharacterized zinc-type alcohol dehydrogenase-like protein YahK OS=Escherichia coli (strain K12) GN=yahK PE=1 SV=1	yahK	24	1682.03	37935.87879	2	b0325	R	General function prediction only	POORLY CHARACTERIZED
P0ABZ6	Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1	surA	24	1270.98	47236.24996	2	b0053	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P21499	Ribonuclease R OS=Escherichia coli (strain K12) GN=rnr PE=1 SV=2	rnr	24	1333.47	92033.50406	2	b4179	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A8M0	Asparaginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=asnS PE=1 SV=2	asnS	24	1660.49	52519.41644	2	b0930	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A8L1	Seryl-tRNA synthetase OS=Escherichia coli (strain K12) GN=serS PE=1 SV=1	serS	24	1656.07	48365.52218	2	b0893	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AEX9	Maltose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=malE PE=1 SV=1	malE	24	1530.97	43342.36867	2	b4034	G	Carbohydrate transport and metabolism	METABOLISM
P0A786	Aspartate carbamoyltransferase catalytic chain OS=Escherichia coli (strain K12) GN=pyrB PE=1 SV=2	pyrB	24	1431.12	34387.75071	2	b4245	F	Nucleotide transport and metabolism	METABOLISM
P05791	Dihydroxy-acid dehydratase OS=Escherichia coli (strain K12) GN=ilvD PE=1 SV=5	ilvD	24	1475.31	65471.83229	2	b3771	EG	Amino acid transport and metabolism	METABOLISM
P77748	Uncharacterized protein ydiJ OS=Escherichia coli (strain K12) GN=ydiJ PE=4 SV=1	ydiJ	24	1182.07	113157.9224	2	b1687	C	Energy production and conversion	METABOLISM
P17315	Colicin I receptor OS=Escherichia coli (strain K12) GN=cirA PE=1 SV=2	cirA	23	1760.5	73832.34947	2	b2155	P	Inorganic ion transport and metabolism	METABOLISM
