KEGG ID	Gene name	Definition
b0058	rlua, eck0059, jw0057, yabo	pseudouridine synthase for 23s rrna (position 746) and
b0059	hepa, eck0060, jw0058, rapa, yaba	rna polymerase-associated helicase protein (atpase and rna
b0060	polb, dina, eck0061, jw0059	dna polymerase ii (ec:2,7,7,7)
b0061	arad, eck0062, jw0060	l-ribulose-5-phosphate 4-epimerase (ec:5,1,3,4)
b0062	araa, eck0063, jw0061	l-arabinose isomerase (ec:5,3,1,4)
b0063	arab, eck0064, jw0062	l-ribulokinase (ec:2,7,1,16)
b0065	yabi, eck0066, jw5005	conserved inner membrane protein
b0066	thiq, eck0067, jw0065, sfuc, yabj	thiamin transporter subunit
b0067	thip, eck0068, jw0066, sfub, yabk	fused thiamin transporter subunits of abc superfamily: membrane
b0068	thib, eck0069, jw0067, sfua, tbpa, yabl	thiamin transporter subunit
b0069	sgrr, eck0070, jw0068, yabn	dna-binding transcriptional regulator
b0070	seta, eck0072, jw0069, yabm	broad specificity sugar efflux system
b0071	leud, eck0073, jw0070	3-isopropylmalate isomerase subunit (ec:4,2,1,33)
b0072	leuc, eck0074, jw0071	3-isopropylmalate isomerase subunit, dehydratase component
b0073	leub, eck0075, jw5807	3-isopropylmalate dehydrogenase (ec:1,1,1,85)
b0074	leua, eck0076, jw0073	2-isopropylmalate synthase (ec:2,3,3,13)
b0075	leul, eck0077, jw0074, leulp	leu operon leader peptide
b0076	leuo, eck0078, jw0075	dna-binding transcriptional activator
b0077	ilvi, eck0079, jw0076	acetolactate synthase iii, large subunit (ec:2,2,1,6)
b0078	ilvh, brnp, eck0080, jw0077	acetolactate synthase iii, thiamin-dependent, small subunit
b0080	frur, cra, eck0081, fruc, jw0078, shl	dna-binding transcriptional dual regulator
b0081	mraz, eck0082, jw0079, yabb	conserved protein
b0082	mraw, eck0083, jw0080, yabc	s-adenosyl-dependent methyltransferase activity on membrane-located
b0083	ftsl, eck0084, jw0081, mrar, yabd	membrane bound cell division protein at septum containing leucine
b0084	ftsi, eck0085, jw0082, pbpb, sep	transpeptidase involved in septal peptidoglycan synthesis
b0085	mure, eck0086, jw0083	udp-n-acetylmuramoyl-l-alanyl-d-glutamate:meso-diaminopimelate
b0086	murf, eck0087, jw0084, mra	udp-n-acetylmuramoyl-tripeptide:d-alanyl-d-alanine ligase
b0087	mray, eck0088, jw0085, murx	phospho-n-acetylmuramoyl-pentapeptide transferase (ec:2,7,8,13)
b0088	murd, eck0089, jw0086	udp-n-acetylmuramoyl-l-alanine:d-glutamate ligase (ec:6,3,2,9)
b0089	ftsw, eck0090, jw0087	integral membrane protein involved in stabilizing fstz ring during
b0090	murg, eck0091, jw0088	n-acetylglucosaminyl transferase (ec:2,4,1,227)
b0091	murc, eck0092, jw0089	udp-n-acetylmuramate:l-alanine ligase (ec:6,3,2,8)
b0092	ddlb, ddl, eck0093, jw0090	d-alanine:d-alanine ligase (ec:6,3,2,4)
b0093	ftsq, eck0094, jw0091	membrane anchored protein involved in growth of wall at septum
b0094	ftsa, diva, eck0095, jw0092	atp-binding cell division protein involved in recruitment of ftsk to
b0095	ftsz, eck0096, jw0093, sfib, sulb	gtp-binding tubulin-like cell division protein
b0096	lpxc, asmb, eck0097, enva, jw0094	udp-3-o-acyl n-acetylglucosamine deacetylase (ec:3,5,1,-)
b0097	secm, eck0098, jw5007, srra, yaca	regulator of seca translation
b0098	seca, azi, eck0099, jw0096, pea, prld	preprotein translocase subunit, atpase
b0099	mutt, eck0100, jw0097, nuda	nucleoside triphosphate pyrophosphohydrolase, marked preference for
b0101	yacg, eck0101, jw5008	dna gyrase inhibitor
b0102	yacf, eck0102, jw0099	conserved protein
b0103	coae, eck0103, jw0100, yace	dephospho-coa kinase (ec:2,7,1,24)
b0104	guac, eck0104, jw0101	gmp reductase (ec:1,7,1,7)
b0106	hofc, eck0105, hopc, jw0102, yacd	assembly protein in type iv pilin biogenesis, transmembrane protein
b0107	hofb, eck0106, hopb, jw0103	conserved protein with nucleoside triphosphate hydrolase domain
b0108	ppdd, eck0107, jw0104	predicted major pilin subunit
b0109	nadc, eck0108, jw0105	quinolinate phosphoribosyltransferase (ec:2,4,2,19)
b0110	ampd, eck0109, jw0106	n-acetyl-anhydromuranmyl-l-alanine amidase (ec:3,5,1,28)
b0111	ampe, eck0110, jw0107	predicted inner membrane protein
b0112	arop, eck0111, jw0108	aromatic amino acid transporter
b0113	pdhr, acec, eck0112, gena, jw0109, yacb	dna-binding transcriptional dual regulator
b0114	acee, eck0113, jw0110	pyruvate dehydrogenase, decarboxylase component e1, thiamin-binding
b0115	acef, eck0114, jw0111	pyruvate dehydrogenase, dihydrolipoyltransacetylase component e2
b0116	lpd, dhl, eck0115, jw0112, lpda	lipoamide dehydrogenase, e3 component is part of three enzyme
b0117	yach, eck0116, jw0113	predicted protein
b0118	acnb, eck0117, jw0114, yaci, yacj	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
b0119	yacl, eck0118, jw0115	conserved protein
b0120	sped, eck0119, jw0116	s-adenosylmethionine decarboxylase (ec:4,1,1,50)
b0121	spee, eck0120, jw0117	spermidine synthase (putrescine aminopropyltransferase)
b0122	yacc, eck0121, gsps, jw0118	predicted protein
b0123	cueo, cuid, eck0122, jw0119, yack	multicopper oxidase (laccase)
b0124	gcd, eck0123, jw0120	glucose dehydrogenase (ec:1,1,5,2)
b0125	hpt, eck0124, jw5009	hypoxanthine phosphoribosyltransferase (ec:2,4,2,8)
b0126	can, eck0125, jw0122, yadf	carbonic anhydrase (ec:4,2,1,1)
b0127	yadg, eck0126, jw0123	predicted transporter subunit: atp-binding component of abc
b0128	yadh, eck0127, jw0124	predicted transporter subunit: membrane component of abc superfamily
b0129	yadi, agax, eck0128, jw0125	predicted pts enzyme iia
b0130	yade, eck0129, jw0126	predicted polysaccharide deacetylase lipoprotein
b0131	pand, eck0130, jw0127	aspartate 1-decarboxylase (ec:4,1,1,11)
b0132	yadd, eck0131, jw5010	predicted transposase
b0133	panc, eck0132, jw0129	pantothenate synthetase (ec:6,3,2,1)
b0134	panb, eck0133, jw0130	3-methyl-2-oxobutanoate hydroxymethyltransferase (ec:2,1,2,11)
b0135	yadc, eck0134, fmab, jw0131	predicted fimbrial-like adhesin protein
b0136	yadk, eck0135, jw0132	predicted fimbrial-like adhesin protein
b0137	yadl, eck0136, jw0133	predicted fimbrial-like adhesin protein
b0138	yadm, eck0137, fmac, jw0134	predicted fimbrial-like adhesin protein
b0139	htre, eck0138, jw0135	predicted outer membrane usher protein
b0140	ecpd, eck0139, jw0136	predicted periplasmic pilin chaperone
b0141	yadn, eck0140, fmad, jw0137	predicted fimbrial-like adhesin protein
b0142	folk, eck0141, jw0138	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase
b0143	pcnb, eck0142, jw5808	poly(a) polymerase i (ec:2,7,7,19)
b0144	yadb, eck0143, jw5892	glutamyl-q trna(asp) synthetase (ec:6,1,1,-)
b0145	dksa, eck0144, jw0141, msma	dna-binding transcriptional regulator of rrna transcription, dnak
b0146	sfsa, eck0145, jw0142, sfs, sfs1	predicted dna-binding transcriptional regulator
b0147	ligt, eck0146, jw5011, yadp	2'-5' rna ligase (ec:6,5,1,-)
b0148	hrpb, eck0147, jw0144, yado	predicted atp-dependent helicase
b0149	mrcb, eck0148, jw0145, pbpf, ponb	fused glycosyl transferase and transpeptidase (ec:2,4,1,129 3,4,-,-)
b0150	fhua, eck0149, jw0146, t1, tona	ferrichrome outer membrane transporter
b0151	fhuc, eck0150, jw0147	iron-hydroxamate transporter subunit
b0152	fhud, eck0151, jw0148	iron-hydroxamate transporter subunit
b0153	fhub, eck0152, jw0149	fused iron-hydroxamate transporter subunits of abc superfamily:
b0154	heml, eck0153, jw0150, popc	glutamate-1-semialdehyde aminotransferase (aminomutase) (ec:5,4,3,8)
b0155	clca, eck0154, eric, jw5012, yadq	chloride channel, voltage-gated
b0156	erpa, eck0155, jw0152, yadr	conserved protein
b0157	yads, eck0156, jw0153	conserved inner membrane protein
b0158	btuf, eck0157, jw0154, yadt	vitamin b12 transporter subunit: periplasmic-binding component of
b0159	mtn, eck0158, jw0155, mtnn, pfs, yada	5'-methylthioadenosine/s-adenosylhomocysteine nucleosidase
b0160	dgt, eck0159, jw0156, opta	deoxyguanosine triphosphate triphosphohydrolase (ec:3,1,5,1)
b0161	degp, eck0160, htra, jw0157, ptd	serine endoprotease (protease do), membrane-associated (ec:3,4,21,-)
b0162	cdar, eck0161, jw5013, sdar, yaeg	dna-binding transcriptional activator
b0163	yaeh, eck0162, jw0159	conserved protein
b0164	yaei, eck0163, jw5014	predicted phosphatase
b0166	dapd, eck0164, jw0161, ssa	2,3,4,5-tetrahydropyridine-2-carboxylate n-succinyltransferase
b0167	glnd, eck0165, jw0162	uridylyltransferase (ec:2,7,7,59)
b0168	map, eck0166, jw0163, pepm	methionine aminopeptidase (ec:3,4,11,18)
b0169	rpsb, eck0168, jw0164	30s ribosomal subunit protein s2
b0170	tsf, eck0169, jw0165	protein chain elongation factor ef-ts
b0171	pyrh, eck0170, jw0166, smba, umk	uridylate kinase (ec:2,7,4,-)
b0172	frr, eck0171, jw0167, rrf	ribosome recycling factor
b0173	dxr, eck0172, ispc, jw0168, yaem	1-deoxy-d-xylulose 5-phosphate reductoisomerase (ec:1,1,1,267)
b0174	ispu, eck0173, jw0169, rth, upps, yaes	undecaprenyl pyrophosphate synthase (ec:2,5,1,31)
b0175	cdsa, eck0174, jw5810	cdp-diglyceride synthase (ec:2,7,7,41)
b0176	rsep, ecfe, eck0175, jw0171, yael	zinc metallopeptidase (ec:3,4,24,-)
b0177	bama, ecfk, eck0176, jw0172, omp85, yaet, yzzn, yzzy	conserved protein
b0178	skp, eck0177, hlpa, jw0173, omph	periplasmic chaperone
b0179	lpxd, eck0178, fira, jw0174, omsa, ssc	udp-3-o-(3-hydroxymyristoyl)-glucosamine n-acyltransferase
b0180	fabz, eck0179, jw0175, saba, sefa, sfhc, yaea	(3r)-hydroxymyristol acyl carrier protein dehydratase (ec:4,2,1,-)
b0181	lpxa, eck0180, jw0176	udp-n-acetylglucosamine acetyltransferase (ec:2,3,1,129)
b0182	lpxb, eck0181, jw0177, pgsb	tetraacyldisaccharide-1-p synthase (ec:2,4,1,182)
b0183	rnhb, eck0182, jw0178	ribonuclease hii, degrades rna of dna-rna hybrids (ec:3,1,26,4)
b0184	dnae, eck0183, jw0179, polc, sdgc	dna polymerase iii alpha subunit (ec:2,7,7,7)
b0185	acca, eck0184, jw0180	acetyl-coa carboxylase, carboxytransferase, alpha subunit
b0186	ldcc, eck0185, jw0181, ldc, ldch	lysine decarboxylase 2, constitutive (ec:4,1,1,18)
b0187	yaer, eck0186, jw0182	predicted lyase
b0188	tils, eck0187, jw0183, mesj, yaen	trna(ile)-lysidine synthetase (ec:6,1,1,5)
b0189	rof, eck0188, jw0184, mesj, yaeo	modulator of rho-dependent transcription termination
b0190	yaeq, eck0190, jw0186	conserved protein
b0191	yaej, eck0191, jw0187	conserved protein
b0192	nlpe, cutf, eck0192, jw0188	lipoprotein involved with copper homeostasis and adhesion
b0193	yaef, eck0193, jw5016, yaek	predicted lipoprotein
b0194	pros, drpa, eck0194, jw0190	prolyl-trna synthetase (ec:6,1,1,15)
b0195	yaeb, eck0195, jw0191	conserved protein
b0196	rcsf, eck0196, jw0192	predicted outer membrane protein, signal
b0197	metq, eck0197, jw0193, metd, yaec	dl-methionine transporter subunit
b0198	meti, eck0198, jw0194, metd, yaee	dl-methionine transporter subunit
b0199	metn, abc, eck0199, jw0195, metd	dl-methionine transporter subunit
b0200	gmhb, eck0200, gmbc, gmbx, jw0196, wcbn, yaed	d,d-heptose 1,7-bisphosphate phosphatase
b0201	rrsh, eck0201, jwr0001	16s ribosomal rna of rrnh operon
b0204	rrlh, eck0204, jwr0004	23s ribosomal rna of rrnh operon
b0207	dkgb, eck0207, jw0197, yafb	2,5-diketo-d-gluconate reductase b (ec:1,1,1,274)
b0208	yafc, eck0208, jw0198	predicted dna-binding transcriptional regulator
b0209	yafd, eck0209, jw5017	conserved protein
b0210	yafe, eck0210, jw0200	predicted s-adenosyl-l-methionine-dependent methyltransferase
b0211	mltd, dnir, eck0211, jw5018, yafg	predicted membrane-bound lytic murein transglycosylase d
b0212	glob, eck0212, jw0202, yafr	predicted hydroxyacylglutathione hydrolase
b0213	yafs, eck0213, jw0203	predicted s-adenosyl-l-methionine-dependent methyltransferase
b0214	rnha, cer, dasf, eck0214, hera, jw0204, rnh, sdra, sin	ribonuclease hi, degrades rna of dna-rna hybrids (ec:3,1,26,4)
b0215	dnaq, eck0215, jw0205, mutd	dna polymerase iii epsilon subunit (ec:2,7,7,7)
b0217	yaft, eck0217, jw0206	predicted aminopeptidase
b0218	yafu, eck0218, jw0207	pseudogene
b0219	yafv, eck0220, jw5019	predicted c-n hydrolase family amidase, nad(p)-binding
b0220	ivy, eck0221, jw0210, ykfe	inhibitor of vertebrate c-lysozyme
b0221	fade, eck0222, fadf, jw5020, yafh	acyl coenzyme a dehydrogenase (ec:1,3,99,3)
b0222	lpca, eck0223, gmha, isn, jw0212, tfra, yafi	d-sedoheptulose 7-phosphate isomerase (ec:5,-,-,-)
b0223	yafj, eck0224, jw0213	predicted amidotransfease
b0224	yafk, eck0225, jw0214	conserved protein
b0225	yafq, eck0226, jw0215	predicted toxin of the yafq-dinj toxin-antitoxin system
b0226	dinj, eck0227, jw0216, sosa	predicted antitoxin of yafq-dinj toxin-antitoxin system
b0227	yafl, eck0228, jw0217	predicted lipoprotein and c40 family peptidase
b0228	yafm, eck0229, jw0218	conserved protein
b0229	lfha, eck0230, fhia, jw5811	pseudogene
b0230	lafu, eck0231, jw5812, mbha	pseudogene
b0231	dinb, dinp, eck0232, jw0221	dna polymerase iv (ec:2,7,7,7)
b0232	yafn, eck0233, jw0222	predicted antitoxin of the yafo-yafn toxin-antitoxin system
b0233	yafo, eck0234, jw0223	predicted toxin of the yafo-yafn toxin-antitoxin system
b0234	yafp, eck0235, jw0224	predicted acyltransferase with acyl-coa n-acyltransferase domain
b0235	ykfj, eck0236, jw0225	pseudogene
b0236	prfh, eck0237, jw0226	pseudogene
b0237	pepd, eck0238, jw0227, peph	aminoacyl-histidine dipeptidase (peptidase d) (ec:3,4,13,3)
b0238		
b0239	frsa, eck0240, jw0229, yafa	hydrolase, binds to enzyme iia(glc)
b0240	crl, eck0241, jw0230	dna-binding transcriptional regulator
b0241	phoe, eck0242, jw0231, ompe	outer membrane phosphoporin protein e
b0242	prob, eck0243, jw0232, pro	gamma-glutamate kinase (ec:2,7,2,11)
b0243	proa, eck0244, jw0233, pro	gamma-glutamylphosphate reductase (ec:1,2,1,41)
b0244	thrw, eck0245, jwr0008	trna-thr
b0245	ykfi, eck0246, jw0234	cp4-6 prophage; toxin of the ykfi-yafw toxin-antitoxin system
b0246	yafw, eck0247, jw0235	cp4-6 prophage; antitoxin of the ykfi-yafw toxin-antitoxin system
b0247	ykfg, eck0249, jw0236	cp4-6 prophage; predicted dna repair protein
b0248	yafx, eck0250, jw5022	cp4-6 prophage; predicted protein
b0249	ykff, eck0251, jw5023	cp4-6 prophage; predicted protein
b0250	ykfb, eck0252, jw0239	cp4-6 prophage; predicted protein
b0251	yafy, eck0253, jw0240	cp4-6 prophage; predicted dna-binding transcriptional regulator
b0252	yafz, eck0254, jw0242	cp4-6 prophage; conserved protein
b0253	ykfa, eck0255, jw0243	cp4-6 prophage; predicted gtp-binding protein
b0254	perr, eck0256, jw0244	cp4-6 prophage; predicted dna-binding transcriptional regulator
b0256	insi, eck0258	kple2 phage-like element; is30 transposase
b0258	ykfc, eck0260, jw5813	pseudogene
b0260	mmup, eck0262, jw5027, ykfd	cp4-6 prophage; predicted s-methylmethionine transporter
b0261	mmum, eck0263, jw0253, yagd	cp4-6 prophage; s-methylmethionine:homocysteine methyltransferase
b0262	afuc, eck0264, fbpc, jw0254, yagc	cp4-6 prophage; predicted ferric transporter subunit
b0263	afub, eck0265, fbpb, jw0255	pseudogene
b0266	yagb, eck0267, jw0259	pseudogene
b0267	yaga, eck0268, jw0260	cp4-6 prophage; predicted dna-binding transcriptional regulator
b0268	yage, eck0269, jw0261	cp4-6 prophage; predicted lyase/synthase
b0269	yagf, eck0270, jw0262	cp4-6 prophage; predicted dehydratase
b0270	yagg, eck0271, jw0263	cp4-6 prophage; predicted sugar transporter
b0271	yagh, eck0272, jw0264	cp4-6 prophage; predicted xylosidase/arabinosidase
b0272	yagi, eck0273, jw0265	cp4-6 prophage; predicted dna-binding transcriptional regulator
b0273	argf, arg5, argd, eck0274, jw0266	cp4-6 prophage; ornithine carbamoyltransferase 2, chain f
b0276	yagj, eck0275, jw0270	cp4-6 prophage; predicted protein
b0277	yagk, eck0276, jw0271	cp4-6 prophage; conserved protein
b0278	yagl, eck0277, jw0272	cp4-6 prophage; dna-binding protein
b0279	yagm, eck0278, jw0273	cp4-6 prophage; predicted protein
b0280	yagn, eck0279, jw0274	cp4-6 prophage; predicted protein
b0281	intf, eck0280, jw0275, yago	cp4-6 prophage; predicted phage integrase
b0283	yagq, eck0282, jw0277	conserved protein
b0284	yagr, eck0283, jw0278	predicted oxidoreductase with molybdenum-binding domain
b0285	yags, eck0284, jw0279	predicted oxidoreductase with fad-binding domain
b0286	yagt, eck0285, jw0280	predicted xanthine dehydrogenase, 2fe-2s subunit
b0287	yagu, eck0286, jw0281	conserved inner membrane protein
b0288	ykgj, eck0287, jw0282	predicted ferredoxin
b0289	yagv, eck0288, jw5030	conserved protein
b0290	yagw, eck0289, jw0284	predicted receptor
b0291	yagx, eck0290, jw0285	predicted aromatic compound dioxygenase
b0292	matc, eck0291, jw0286, yagy	predicted protein
b0293	matb, eck0292, jw0287, yagz	conserved protein
b0294	mata, eck0293, jw5031, ykgk	predicted regulator
b0295	ykgl, eck0294, jw5033	predicted protein
b0296	ykgm, eck0296, jw5035	rpmj (l36) paralog
b0297	eaeh, eck0297, jw0291	pseudogene
b0300	ykga, eck0300, jw5037	pseudogene
b0301	ykgb, eck0301, jw5038	conserved inner membrane protein
b0303	ykgi, eck0302, jw5039	predicted protein
b0304	ykgc, eck0303, jw5040	predicted oxidoreductase with fad/nad(p)-binding domain and
b0305	ykgd, eck0304, jw0298	predicted dna-binding transcriptional regulator
b0306	ykge, eck0305, jw5041	predicted oxidoreductase
b0307	ykgf, eck0306, jw0300	predicted amino acid dehydrogenase with nad(p)-binding domain and
b0308	ykgg, eck0307, jw5042	predicted transporter
b0310	ykgh, eck0308, jw0302	predicted inner membrane protein
b0311	beta, eck0309, jw0303	choline dehydrogenase, a flavoprotein (ec:1,1,99,1)
b0312	betb, eck0310, jw0304	betaine aldehyde dehydrogenase, nad-dependent (ec:1,2,1,8)
b0313	beti, eck0311, jw0305	dna-binding transcriptional repressor
b0314	bett, eck0312, jw0306	choline transporter of high affinity
b0315	yaha, eck0313, jw0307	predicted dna-binding transcriptional regulator
b0316	yahb, eck0314, jw0308	predicted dna-bindng transcriptional regulator
b0317	yahc, eck0315, jw0309	predicted inner membrane protein
b0318	yahd, eck0316, jw0310	predicted transcriptional regulator with ankyrin domain
b0319	yahe, eck0317, jw0311	predicted protein
b0320	yahf, eck0318, jw0312	predicted acyl-coa synthetase with nad(p)-binding domain and
b0321	yahg, eck0319, jw0313	conserved protein
b0323	yahi, eck0321, jw0315	predicted carbamate kinase-like protein
b0324	yahj, eck0322, jw0316	predicted deaminase with metallo-dependent hydrolase domain
b0325	yahk, eck0323, jw0317	predicted oxidoreductase, zn-dependent and nad(p)-binding
b0326	yahl, eck0324, jw0318	predicted protein
b0327	yahm, eck0325, jw5044	predicted protein
b0328	yahn, eck0326, jw0320	neutral amino-acid efflux system
b0329	yaho, eck0327, jw0321	predicted protein
b0330	prpr, eck0328, jw0322, yahp	dna-binding transcriptional activator
b0331	prpb, eck0329, jw0323, yahq	2-methylisocitrate lyase (ec:4,1,3,30)
b0333	prpc, eck0330, jw0324, yahs, yzzd	2-methylcitrate synthase (ec:2,3,3,1)
b0334	prpd, acnc, eck0331, jw0325, yaht	2-methylcitrate dehydratase (ec:4,2,1,79)
b0335	prpe, eck0332, jw0326, yahu	predicted propionyl-coa synthetase with atpase domain
b0336	codb, eck0333, jw0327	cytosine transporter
b0337	coda, eck0334, jw0328	cytosine deaminase (ec:3,5,4,1)
b0338	cynr, eck0335, jw5894	dna-binding transcriptional dual regulator
b0339	cynt, eck0336, jw0330	carbonic anhydrase (ec:4,2,1,1)
b0340	cyns, cnt, eck0337, jw0331	cyanate aminohydrolase (ec:4,2,1,104)
b0341	cynx, eck0338, jw0332	predicted cyanate transporter
b0346	mhpr, eck0343, jw0337	dna-binding transcriptional activator, 3hpp-binding
b0347	mhpa, eck0344, jw0338	3-(3-hydroxyphenyl)propionate hydroxylase (ec:1,14,13,-)
b0348	mhpb, eck0345, jw0339	2,3-dihydroxyphenylpropionate 1,2-dioxygenase (ec:1,13,11,-)
b0349	mhpc, eck0346, jw0340	2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase (ec:3,7,1,-)
b0350	mhpd, eck0347, jw0341, mhps	2-keto-4-pentenoate hydratase (ec:4,2,1,80)
b0351	mhpf, eck0348, jw0342	acetaldehyde-coa dehydrogenase ii, nad-binding (ec:1,2,1,10)
b0352	mhpe, eck0349, jw0343	4-hyroxy-2-oxovalerate/4-hydroxy-2-oxopentanoic acid aldolase, class
b0353	mhpt, eck0350, jw5046, yaik	predicted 3-hydroxyphenylpropionic transporter
b0354	yail, eck0351, jw0345	nucleoprotein/polynucleotide-associated enzyme
b0355	frmb, eck0352, jw0346, yaim	predicted esterase
b0356	frma, adhc, eck0353, jw0347	alcohol dehydrogenase class iii/glutathione-dependent formaldehyde
b0357	frmr, eck0354, jw0348, yain	regulator protein that represses frmrab operon
b0358	yaio, eck0355, jw0349	predicted protein
b0363	yaip, eck0360, jw0355	predicted glucosyltransferase
b0364	yais, eck0361, jw0356	conserved protein
b0365	taua, eck0362, jw0357, ssia, yair	taurine transporter subunit
b0366	taub, eck0363, jw0358, ssib, yaiq	taurine transporter subunit
b0367	tauc, eck0364, jw0359, ssic, yaij	taurine transporter subunit
b0368	taud, eck0365, jw0360, ssid, yaig	taurine dioxygenase, 2-oxoglutarate-dependent (ec:1,14,11,17)
b0369	hemb, eck0366, jw0361, ncf	porphobilinogen synthase (ec:4,2,1,24)
b0375	yaiv, eck0370, jw0366	predicted dna-binding transcriptional regulator
b0376	amph, eck0371, jw5052, yaih	beta-lactamase/d-alanine carboxypeptidase (ec:3,5,2,6 3,4,17,8)
b0377	sbma, eck0372, jw0368	predicted transporter
b0378	yaiw, eck0373, jw0369	predicted dna-binding transcriptional regulator
b0379	yaiy, eck0374, jw0370	predicted inner membrane protein
b0380	yaiz, eck0375, jw5053	predicted inner membrane protein
b0381	ddla, eck0376, jw0372	d-alanine-d-alanine ligase a (ec:6,3,2,4)
b0382	irap, eck0377, jw0373, yaib	predicted protein
b0383	phoa, eck0378, jw0374, psia	bacterial alkaline phosphatase (ec:3,1,3,1)
b0384	psif, eck0379, jw5054	conserved protein
b0385	adra, eck0380, jw0376, yaic	predicted diguanylate cyclase
b0386	proc, eck0381, jw0377, pro, pro2	pyrroline-5-carboxylate reductase, nad(p)-binding (ec:1,5,1,2)
b0387	yaii, eck0382, jw0378	conserved protein
b0388	arol, eck0383, jw0379	shikimate kinase ii (ec:2,7,1,71)
b0389	yaia, eck0384, jw0380	predicted protein
